codigo_antiguo,codigo_nuevo,distrito_origen,distrito_destino,empresa_operadora,empresa_abrev,alias,color_hex,estado
2413,,San Martín de Porres,Ate,Roluesa,,Desconocido,#7A3838,Inactiva
2414,,Los Olivos,Santa Anita,Cruz del Centro,,La A,#0005CC,Inactiva
2501,,San Martín de Porres,Lima,Urano Tours,,Desconocido,#FF4007,Inactiva
2502,,San Martín de Porres,Lima,Pacific International,ETRASERPISA,La B,#FFAA00,Inactiva
2503,,San Martín de Porres,Lima,Urbano Rápido Villa María,ETURVIMSAC,La B,#288C2F,Inactiva
2504,,San Martín de Porres,Lima,29 de Junio,ETSJUSA,La B,#FF28FE,Inactiva
2505,,San Martín de Porres,Lima,Armonía 5,ETSACSA,La B,#FF2323,Inactiva
2506,,Los Olivos,Santa Anita,Los Olivos,ETO,La ETO,#00B216,Inactiva
2507,,San Martín de Porres,Lima,El Porvenir,ETEPSA,La 28 - La 504,#29B200,Inactiva
2508,,San Martín de Porres,Jesús María,Translima,,La 29,#00FFEE,Inactiva
2509,,San Martín de Porres,Lima,Urbano Rápido Villa María,ETURVIMSAC,La B,#FFF700,Inactiva
2510,,Independencia,San Miguel,Alipio Ponce Vásquez,ETALPOVASA,Desconocido,#05B200,Activa
2511,,San Martín de Porres,San Martín de Porres,Corazón de Jesús de San Diego,,Desconocido,#002AD9,Activa
2512,,?,?,?,,Desconocido,#5A6470,
2513,,San Martín de Porres,Jesús María,Translima,,La 29,#00FFEE,Activa
2601,,Independencia,San Luis,42M,,La 42,#FF2525,Inactiva
2602,,San Martín de Porres,La Victoria,1.º de Julio,,Desconocido,#FFA128,Inactiva
2603,,San Martín de Porres,La Victoria,San Juan de La Cruz,,La A,#F70606,Activa
2604,,San Martín de Porres,La Victoria,Luxe,,La C,#0C17A5,Activa
2605,,Los Olivos,La Victoria,Veinte de Marzo,ETSEVEMSA,La 84,#20FFA5,Inactiva
2606,,San Martín de Porres,San Luis,El Progreso,ESTEPSAC,La D,#0AA5DB,Inactiva
2607,,Rímac,La Victoria,Independiente de Transportes,EITSA,La 36,#29B200,Activa
2608,,Rímac,La Victoria,Especiales La Bala,,Desconocido,#0D25A5,Activa
2609,,Rímac,La Victoria,El Bajopontino,,Desconocido,#FFA228,Activa
2610,,Independencia,La Victoria,Leoncio Prado,,Desconocido,#FF2525,Inactiva
2611,,San Martín de Porres,La Victoria,Lima Chorrillos,TRANSLICSA,La B,#F20C0C,Activa
2612,,San Martín de Porres,La Victoria,Translima,,La 29,#00FFEE,Inactiva
2613,,San Martín de Porres,Lince,El Porvenir,ETEPSA,La 28 - La 504,#29B200,Activa
2701,,San Martín de Porres,Santiago de Surco,Diecisiete de Junio,ETRADIJUSA,La 44A,#EA1515,Activa
2702,,San Martín de Porres,Chorrillos,Rumi,RUMISA,La 49,#FF2323,Activa
2703,,San Martín de Porres,Chorrillos,36 San Martín de Porres,ET36SMPSA,La 36,#F1B936,Activa
2704,,San Martín de Porres,Santiago de Surco,Comité Cien,,La 60A,#161A9B,Inactiva
2801,,San Martín de Porres,Villa María del Triunfo,Generales La Ardilla,ETRAGELAR,La 76,#EDD500,Inactiva
2802,,San Martín de Porres,Villa El Salvador,Mariscal Ramón Castilla,ETMRCSA,La 46A,#232F94,Inactiva
2803,,Independencia,Villa María del Triunfo,Ingaruca,TRAINSAC,La 9A,#16A111,Activa
2804,,San Martín de Porres,Villa El Salvador,Línea Peruana de Transportes,LIPETSA,El △ - El Triángulo,#B81A1A,Activa
2805,,San Martín de Porres,Villa El Salvador,Sol de Oro,ETSOSAC,La A,#55D2C6,Activa
2901,,Independencia,Callao,117,ETSEDISA,La 117,#42B587,Inactiva
3101,,San Juan de Lurigancho,Carabayllo,Nueva América,TRANSNASA,La B,#939393,Inactiva
3201,,San Juan de Lurigancho,San Martín de Porres,Especial Solidaridad,EMTESSA,La S2,#13B101,Inactiva
3202,,San Juan de Lurigancho,San Martín de Porres,Huancayo City,ETHUCSA 2H,La 2H,#DCE344,Inactiva
3203/TVE53,,San Juan de Lurigancho,San Martín de Porres,San Germán,TISGSA,La C - La 128 - La San Germán,#FF00C2,Activa
3204/TVE31,,San Juan de Lurigancho,Rímac,San Ignacio,ETSISA,La SC - La San Ignacio,#0043FF,Activa
3205,,San Juan de Lurigancho,San Martín de Porres,Huancayo City,ETHUCSA 2H,La 2H,#DCE344,Activa
3206,,San Juan de Lurigancho,San Martín de Porres,San Ildefonso,,La 7,#FEFF00,Inactiva
3301,,San Juan de Lurigancho,San Juan de Lurigancho,San Germán,,La San Germán,#FF7E28,Inactiva
3302,,San Juan de Lurigancho,El Agustino,Progreso,ETPSA,La 38,#9E1414,Inactiva
3401,,San Juan de Lurigancho,Ate,Yagasol,,Desconocido,#FF0F07,Inactiva
3402,,San Juan de Lurigancho,Ate,Unidos,ETUSA,La 52C,#90323B,Inactiva
3403/TVE27,,San Juan de Lurigancho,Lurigancho/Chosica,Santa Rosa de Jicamarca,ETSRJSA,La 41,#E71D1D,Activa
3404,,San Juan de Lurigancho,Lurigancho/Chosica,Santa Rosa de Jicamarca,ETSRJSA,La C,#DB0000,Activa
3405,,San Juan de Lurigancho,Ate,Las Águilas 75,ETLA75SA,La 75A,#FE0F0F,Activa
3406,,San Juan de Lurigancho,Ate,Virgen de Copacabana,MIVICOSAC,La IC,#0758B5,Inactiva
3407,,San Juan de Lurigancho,La Molina,Los Magníficos,,La M,#FEB60A,Inactiva
3408,,San Juan de Lurigancho,La Molina,Cuarenta Integrada,ETRANCISA,La 40,#9A3E17,Activa
3409/TVE23,,San Juan de Lurigancho,La Molina,Turismo Cinco Estrellas,ETRACESA,La C,#FFBB1C,Inactiva
3410,,San Juan de Lurigancho,La Molina,Negociaciones Santa Anita,,Desconocido,#FEB012,Inactiva
3411/TVE22,,San Juan de Lurigancho,Huaycán,Urbano Línea 4,ETUL4SA,La C - La 24C,#E5C140,Inactiva
3501,,San Juan de Lurigancho,Lima,San Ildefonso,,La 7,#FEFF00,Inactiva
3502,,El Agustino,San Miguel,Vargasant,,La E,#00B277,Activa
3503/TVE32,,San Juan de Lurigancho,San Miguel,Próceres,,Desconocido,#FEFF00,Inactiva
3504,,San Juan de Lurigancho,San Miguel,104,,La 104B,#FE3F0F,Inactiva
3505,,San Juan de Lurigancho,San Miguel,El Carmen,ETECSA,La 80,#F2E201,Activa
3506,,San Juan de Lurigancho,Lima,Peralitos,,Desconocido,#FF1919,Inactiva
3507,,San Juan de Lurigancho,San Miguel,La Huayrona,,La C1,#FF9900,Activa
3508,,San Juan de Lurigancho,San Miguel,Nueva América,TRANSNASA,La D,#888888,Inactiva
3509,,San Juan de Lurigancho,San Miguel,104,,La 104,#FE3F0F,Activa
3510,,San Juan de Lurigancho,Pueblo Libre,San Miguel-Rímac,,La 87,#FF2828,Inactiva
3511,,San Juan de Lurigancho,Magdalena del Mar,Unidos,ETUSA,La 52C,#90323B,Activa
3512,,San Juan de Lurigancho,Lima,San Juan Bosco,ETSSJBSA,La 70,#B26B00,Inactiva
3513,,San Juan de Lurigancho,Lima,Huancayo City,ETHUCSA,La 2H,#DCE344,Inactiva
3514,,San Juan de Lurigancho,San Miguel,Las Águilas 75,ETLA75SA,La 75B,#FE0F0F,Inactiva
3515,,San Juan de Lurigancho,Lima,Ingaruca,TRAINSAC,La 9A,#FE1212,Inactiva
3516,,San Juan de Lurigancho,San Miguel,San Ildefonso,,La 7,#FEFF00,Activa
3517,,San Juan de Lurigancho,Pueblo Libre,Chabaquito,,La 48,#E8CC14,Activa
3601,,San Juan de Lurigancho,Miraflores,Especial Solidaridad,EMTESSA,La SB,#328929,Inactiva
3602,,San Juan de Lurigancho,La Victoria,Nueva Sociedad,ETINSSA,La C,#FEFF00,Inactiva
3603,,San Juan de Lurigancho,Lince,Transport Sabino,TRANSSABISAC,Desconocido,#18AA08,Activa
3604/TVE30,,San Juan de Lurigancho,Miraflores,Servicio de Transportes 25 de Setiembre,,La 66,#FEB012,Activa
3605,,San Juan de Lurigancho,La Victoria,Rápido Prialé Prialé,ETRAPSA,La A1 - La C,#0461FF,Inactiva
3606,,San Juan de Lurigancho,La Victoria,Floreciente,ETFLOSAC,Desconocido,#FFCC00,Inactiva
3607,,San Juan de Lurigancho,Lince,12 de Enero,ETDESA,Desconocido,#DB1111,Activa
3608,,San Juan de Lurigancho,La Victoria,Alas Peruanas,,Desconocido,#595959,Inactiva
3609,,San Juan de Lurigancho,San Luis,Manos de Dios,ETMADISA,La HP,#20C4F7,Inactiva
3610,,San Juan de Lurigancho,La Victoria,Vara,,La A1,#A30F0F,Activa
3611/TVE60,,San Juan de Lurigancho,La Victoria,Caminos del Inca,ETCISA,Desconocido,#30A60B,Activa
3612,,San Juan de Lurigancho,San Isidro,Chabaquito,,La 48,#E8CC14,Inactiva
3613,,San Juan de Lurigancho,Lince,El Lobito,,La R-I,#FFCC00,Activa
3614/TVE68,,San Juan de Lurigancho,San Isidro,Unidos,ETUSA,La 52J,#90323B,Activa
3701,,San Juan de Lurigancho,San Juan de Miraflores,HA de Servicios Múltiples de Propietarios Unidos Huáscar,ETHASEMPUHUASA,La HA,#140FB0,Activa
3702,,San Juan de Lurigancho,Chorrillos,Sur Lima,,La H,#003CE0,Activa
3703,,San Juan de Lurigancho,Santiago de Surco,Luis Banchero Rossi,LUBARSA,La 9 - La Banchero,#EBF037,Inactiva
3704,,San Juan de Lurigancho,Chorrillos,Urbano Línea 4,ETUL4SA,La E,#E3B03F,Inactiva
3705,,San Juan de Lurigancho,Chorrillos,Urbano Línea 4,ETUL4SA,La E,#E3B03F,Activa
3706,,San Juan de Lurigancho,Barranco,El Lobito,,Desconocido,#FFCC00,Inactiva
3707,,San Juan de Lurigancho,Chorrillos,Lima Urban Company,,La 31,#FF0202,Activa
3801,,San Juan de Lurigancho,Villa El Salvador,Huáscar,,La A,#D91111,Inactiva
3802,,San Juan de Lurigancho,Pachacámac,Negociaciones Santa Anita,,Desconocido,#FF9900,Activa
3803/TVE38,,San Juan de Lurigancho,Pachacámac,Negociaciones Santa Anita,,La C,#FEB012,Activa
3804/TVE23,,San Juan de Lurigancho,Pachacámac,Turismo Cinco Estrellas,ETRACESA,La C,#FFBB1C,Activa
3805,,San Juan de Lurigancho,Villa El Salvador,Arco Iris,ETSAISA,La P,#B80000,Activa
3806,,San Juan de Lurigancho,Villa María del Triunfo,Santa Catalina,ESTSACASA,La 23C,#18B200,Activa
3807/TVE21,,San Juan de Lurigancho,Lurín,Huáscar,,La R28,#D7D820,Activa
3808/TVE24,,San Juan de Lurigancho,Villa El Salvador,Santa Catalina,ESTSACASA,La 23A,#18B200,Inactiva
3809,,San Juan de Lurigancho,Villa María del Triunfo,Santa Catalina,ESTSACASA,La 23B,#18B200,Activa
3810,,San Juan de Lurigancho,Villa María del Triunfo,Ocho,ETSOSA,La 8,#DE1111,Activa
3811,,San Juan de Lurigancho,Villa El Salvador,Montenegro,ETMOSAC,Desconocido,#12BF29,Inactiva
3812,,San Juan de Lurigancho,Villa El Salvador,Servicio Rápido Ramiro Prialé Prialé,ETRAPSA,La HV - La A1,#0461FF,Inactiva
3813,,San Juan de Lurigancho,Villa El Salvador,Preferencial M1,ETSPM1SA,La M1,#C5FF21,Activa
3814/TVE37,,San Juan de Lurigancho,Villa El Salvador,Los Cuatro Suyos,ETCSSA,La M1,#FEF70A,Activa
3815,,San Juan de Lurigancho,Pachacámac,Los Magníficos,ETYSERMULMASA,La M,#FEB60A,Inactiva
3816,,San Juan de Lurigancho,Villa María del Triunfo,Especial Solidaridad,EMTESSA,La S1,#328929,Activa
3817,,San Juan de Lurigancho,Villa María del Triunfo,Luis Banchero Rossi,LUBARSA,La 9 - La Banchero,#EBF037,Inactiva
3901/TVE68,,San Juan de Lurigancho,La Perla,Unidos,ETUSA,La 52C,#90323B,Inactiva
3902,,San Juan de Lurigancho,Ventanilla,La Nueva Estrella,,La S2C,#0600C9,Inactiva
3903,,San Juan de Lurigancho,Callao,San Miguel-Rímac,,La 87,#FF2828,Inactiva
3904,,San Juan de Lurigancho,Callao,Caña Brava,,La 48,#E8CC14,Inactiva
3905,,San Juan de Lurigancho,La Perla,San Juan Bosco,,La 70,#B26B00,Inactiva
3906,,San Juan de Lurigancho,La Perla,Colonial,ETCOLSA,La 94,#0010FF,Activa
3907,,San Juan de Lurigancho,Callao,Nuevo San Juan,,La ZA,#FF1202,Activa
4101,,Ate,Puente Piedra,Halley,ETHALLSA,Desconocido,#005EFF,Inactiva
4102,,Santa Anita,Carabayllo,San Felipe Express,,Desconocido,#0D07D9,Inactiva
4103,,Ate,Puente Piedra,Consorcio Vía,,La O - La Daewoo,#248A8E,Inactiva
4104,,Ate,Carabayllo,J.C. Bus,,La JC,#0B73C4,Inactiva
4105,,La Molina,Carabayllo,Castro Fuentes,KEVJIDSA,Desconocido,#2E39C9,Inactiva
4201,,La Molina,San Martín de Porres,Jorge Panduro,ETRANSPASA,Desconocido,#FFE500,Inactiva
4202,,Santa Anita,San Martín de Porres,Los Olivos,ETO,La ETO,#00B216,Inactiva
4203,,Huaycán,Rímac,Múltiples Camira,,Desconocido,#FFA128,Inactiva
4204,,Ate,San Martín de Porres,Sol de Oro,ETSOSAC,La 47,#B24700,Activa
4205,,Ate,San Martín de Porres,Vishenzo Investment Company 505,,La 505,#1800B2,Activa
4206,,Ate,San Martín de Porres,Expresso Doce,,La 505,#00B200,Activa
4207,,Ate,San Martín de Porres,El Sol de Santa Clara,ETISSA,Desconocido,#FFE228,Inactiva
4208,,Santa Anita,Los Olivos,Los Alizos,,Desconocido,#C42B99,Inactiva
4209,,Lurigancho/Chosica,San Martín de Porres,Federico Villareal,ETFVSA,La B - La Covida,#FF6004,Inactiva
4210,,Ate,San Martín de Porres,Virgen de La Asunción,ETVASA,La 32A,#28FF93,Activa
4211,,Lurigancho/Chosica,Rímac,102,,Desconocido,#FBDC12,Activa
4212,,Ate,San Martín de Porres,Los Alizos,,Desconocido,#5A6470,
4301,,Lurigancho/Chosica,San Juan de Lurigancho,Turismo Huánuco,,La C,#E3B03F,Inactiva
4302,,Ate,San Juan de Lurigancho,Jerrbus,ETJSAC,Desconocido,#E61111,Activa
4303,,Ate,San Juan de Lurigancho,Enpresa Becami,,Desconocido,#E61111,Activa
4304,,Lurigancho/Chosica,San Juan de Lurigancho,Santa Rosa de Jicamarca,ETSRJSA,La 49,#DB0000,Activa
4305/TVE22,,Lurigancho/Chosica,San Juan de Lurigancho,Urbano Línea 4,ETUL4SA,La C,#E3C03F,Inactiva
4306,,Ate,San Juan de Lurigancho,Urano Tours,,Desconocido,#EA1212,Activa
4307,,Lurigancho/Chosica,San Juan de Lurigancho,Urano Tours,,Desconocido,#EA1212,Activa
4308,,Ate,San Juan de Lurigancho,Varant,,Desconocido,#FF0F07,Activa
4401,,Lurigancho/Chosica,Santa Anita,Nuevo Amanecer,,La B1,#0000D9,Activa
4402,,Ate,Lurigancho/Chosica,Importaciones y Servicios H-2,,Desconocido,#0DFECE,Activa
4403,,Cieneguilla,Ate,Unión Dorado's,,Desconocido,#C4BD00,Inactiva
4404,,Santa Anita,La Molina,Cuarenta Integrada,ETRANCISA,Desconocido,#9A3E17,Inactiva
4405,,Ate,Ate,Nuevo Horizonte,ETNHOSA,La 91,#001DB2,Activa
4406/CH30,,Huaycán,Lurigancho/Chosica,El Triunfo 119,,La 119,#1800FF,Activa
4407,,Santa Anita,La Molina,Cruz de Nazareno,,Desconocido,#88FE12,Activa
